component,branch,bus0,bus1,peak_loading_pu,binding_hours
Line,1571-5191-1,Ardnagappary,Tievebrack,0.2933827588570574,0.0
Line,1341-1701-1,Binbane,Cathaleen's Fall,0.3153894685853353,0.0
Line,1341-5191-1,Binbane,Tievebrack,0.30237252227230055,0.0
Line,2870-17010-1,Clogher,Cathaleen's Fall,0.5134532222399818,0.0
Line,1701-28712-2,Cathaleen's Fall,Clogher,0.5110082068959818,0.0
Line,1701-5041-1,Cathaleen's Fall,Srananagh 220,0.24595171057990084,0.0
Line,5041-17010-2,Srananagh 220,Cathaleen's Fall,1.0,13.0
Line,28710-51911-1,Clogher,Croaghonagh,0.6677698694687032,0.0
Line,2321-28710-1,Drumkeen,Clogher,0.21681984568351903,0.0
Line,3581-28019-1,Letterkenny,Clogher,0.25029026260489606,0.0
Line,1631-5041-1,Corderry,Srananagh 220,0.7241208240819142,0.0
Line,2321-3581-1,Drumkeen,Letterkenny,0.5488903833513833,0.0
Line,1931-4371-1,Sligo,Glenree,0.4940198339288974,0.0
Line,3591-5191-1,Letterkenny,Tievebrack,0.17579268173473278,0.0
Line,3581-5361-1,Letterkenny,Trillick,0.2816292538339877,0.0
Line,4981-5041-1,Sligo,Srananagh 220,0.4509926150658957,0.0
Line,4981-5041-2,Sligo,Srananagh 220,0.4380059167263019,0.0
Line,4991-5361-1,Sorne Hill,Trillick,0.25669044481329567,0.0
